row_id,x,y,accuracy,time,place_id
0,0.7941,9.0809,54,470702,8523065625
1,5.9567,4.7968,13,186555,1757726713
2,8.3078,7.0407,74,322648,1137537235
3,7.3665,2.5165,65,704587,6567393236
4,4.0961,1.1307,31,472130,7440663949
5,3.8099,1.9586,75,178065,6289802927
6,6.3336,4.372,13,666829,9931249544
7,5.7409,6.7697,85,369002,5662813655
8,4.3114,6.941,3,166384,8471780938
9,6.3414,0.0758,65,400060,1253803156
10,2.0173,4.8627,6,21353,8684462954
11,8.7101,2.9442,73,153493,2159916487
12,0.8829,1.3445,64,574488,7652380351
13,2.4336,8.06,62,238054,8234363596
14,6.155,1.9774,8,325411,2272949794
15,7.6219,9.6208,65,321519,4740742194
16,3.2494,3.2096,75,777982,2123587484
17,0.7084,8.9051,69,320633,8016758016
18,2.7256,1.0135,54,6249,8936085695
19,4.2683,1.8238,70,411437,2778700985
20,5.3298,6.3457,52,736113,4845908305
21,4.283,3.1855,62,500479,3938338894
22,9.6349,1.2462,172,181701,9784464752
23,7.4492,8.995,17,726403,1874355796
24,1.2837,7.5588,4,245292,9885174082
25,7.6423,6.7629,70,323935,4294512385
26,4.6375,3.4561,67,297623,7766380992
27,4.3794,7.2107,165,727097,2110807282
28,7.2382,4.3998,75,11929,9713229580
29,4.5083,1.8794,2,310734,6163271747
30,5.339,2.5803,149,76243,5332571508
31,1.5702,2.807,47,358928,6179383704
32,5.3103,8.491,73,600746,7651017815
33,7.3227,5.1229,5,310262,3323368000
34,3.1667,6.2971,32,729423,6020820466
35,8.5522,0.5541,9,725239,7971992619
36,9.0104,7.1375,57,160892,2418763324
37,9.623,7.2774,24,499008,3805035152
38,4.8259,7.8946,124,393598,8928471601
39,1.2191,1.3462,743,477469,6171384989
40,5.5427,7.8075,9,594450,4952233441
41,3.6597,6.3443,123,379296,4725670121
42,6.6331,5.2246,69,606598,5124302176
43,4.1841,9.373,71,581411,3524809832
44,2.0768,4.4422,53,766037,1367769233
45,3.1491,1.6401,157,115976,1464085506
46,1.5167,8.9621,159,544158,3270740537
47,1.203,5.3153,43,398762,8723194881
48,5.0278,7.7972,25,343986,6454154891
49,6.2591,3.4753,65,505075,8329979618
50,5.5137,1.323,63,73189,4203119052
51,5.6128,9.6412,13,399538,7902349821
52,1.3307,9.9828,53,716537,5093358914
53,6.2188,7.5741,65,572276,9387875023
54,1.9264,0.2691,64,220833,4228252677
55,5.686,3.9426,73,212225,1553298457
56,4.4478,9.7351,61,733572,9448507823
57,9.581,1.7132,65,430045,8157522327
58,4.5698,4.1206,101,689815,5158095731
59,0.1927,5.0773,42,672679,2046159033
60,0.613,2.2644,5,612228,5336109353
61,5.2614,9.8063,94,70060,7459224003
62,6.2019,5.4881,303,574643,8673603270
63,3.4877,0.4956,75,641533,8775814893
64,1.8509,5.2754,171,554910,2528204956
65,0.5082,3.4107,73,546980,8600774186
66,0.3093,5.7269,64,693299,4799204024
67,0.2758,6.2541,182,636948,6318874027
68,2.217,6.8293,56,105723,6345260964
69,5.4213,9.3616,5,258162,3271076431
70,0.4763,8.23,80,147159,8640222556
71,6.8635,4.4686,247,258365,2914591934
72,5.5935,2.5938,56,358263,3275867784
73,3.8248,4.1736,45,476529,1387660996
74,1.8616,2.8019,133,769002,4530587605
75,4.5027,4.36,86,343571,1806177396
76,3.1704,8.2077,132,561388,5320890641
77,9.4626,3.9938,23,544855,2227314169
78,9.8236,9.88,74,299145,7427358270
79,4.1472,8.8467,17,173136,6001973189
80,1.669,5.7207,80,772745,7487310273
81,6.0513,7.761,75,329163,1868817513
82,2.9265,2.359,55,415119,9313893105
83,4.9941,0.096,177,140586,6040906104
84,4.2708,5.143,68,651562,1569679800
85,5.1621,0.252,59,447111,3793358279
86,9.4804,1.4371,160,645410,5589349223
87,4.6449,1.2157,67,104591,3243951535
88,5.7111,9.2296,139,676464,7224635224
89,5.4847,7.41,65,744939,3626168775
90,4.8707,6.2239,62,736102,8418409841
91,3.5149,2.451,3,202338,4639582171
92,1.1055,9.4785,54,644180,3293196015
93,4.8579,2.4629,33,643386,2677147592
94,2.9072,4.1222,70,683053,5744032337
95,4.8407,7.0817,54,158759,2953685244
96,7.9815,2.6339,72,542463,4838747140
97,4.0904,8.2427,65,496300,9681718031
98,5.2715,0.7871,63,330346,1603102799
99,3.2805,6.7441,47,463599,4215602515
100,9.7952,7.7306,66,748907,1671447920
101,3.4777,2.0938,71,115352,3762957785
102,4.4817,6.5322,70,546586,9768707769
103,0.9143,4.9587,64,196260,5952915835
104,4.7734,4.967,70,370898,6090451045
105,9.4115,4.3036,1,19337,2511589282
106,6.7528,1.1262,2,311172,7580781821
107,1.0469,6.609,61,612537,4276937908
108,2.8539,6.7062,67,579073,5853941635
109,0.4995,1.4831,155,769344,9841775341
110,4.2822,4.4936,483,358235,8855290574
111,9.023,1.8307,70,639677,7268969405
112,2.236,1.3655,66,623174,7663031065
113,4.1663,7.8649,69,518969,9869878827
114,7.5533,0.039,71,550282,6707991950
115,3.9994,7.8037,72,452763,7435893302
116,2.2166,6.2559,58,203691,5636053158
117,9.0473,7.5661,94,720849,3432993154
118,5.4822,3.2393,65,537815,6085353871
119,4.105,2.8166,29,578537,9781042850
120,2.6927,7.2932,74,384035,9014866068
121,7.7284,9.9334,11,335962,4052299617
122,4.7218,2.4048,60,338360,8663061061
123,2.7487,3.7421,171,589103,8724107029
124,7.318,9.638,66,542021,8025930711
125,3.2659,6.3941,56,517381,3602169844
126,2.8276,7.8614,54,359822,6106629727
127,7.8766,5.4841,178,379638,8262912482
128,5.6999,9.5616,20,115577,8547356420
129,9.3455,8.3334,107,193366,7839047253
130,2.3609,0.1583,7,65044,3371014665
131,7.0177,1.001,18,9553,7078751844
132,0.1902,0.151,47,674085,5348440074
133,5.2694,1.4397,50,403739,4988582388
134,5.9258,7.6458,47,16499,2349333720
135,3.87,6.7935,169,434517,7032758894
136,5.5049,9.97,10,417428,6031524590
137,8.3039,6.3576,64,276367,8118446541
138,7.9259,5.4533,45,651964,3371344354
139,7.6932,2.3443,19,118161,5250105119
140,8.2384,3.0428,58,759135,4865794141
141,2.8132,8.3074,60,441983,8201060230
142,0.1318,0.4975,72,88882,9403498500
143,4.3845,9.4131,74,633432,9986262808
144,4.7891,1.2985,48,126743,4490687859
145,7.9678,0.0914,20,375270,8216356070
146,7.9186,5.2557,9,366110,5808614984
147,5.606,9.637,65,155065,6903694889
148,5.2184,8.2914,49,522453,2019605404
149,0.0179,0.2321,67,541943,8050782732
150,2.5337,5.8509,61,491562,6188328155
151,5.7475,4.4212,415,444839,4435641053
152,2.6188,8.7866,17,135988,1231289461
153,6.1622,3.8002,70,58627,3127977267
154,8.7666,6.3635,13,188109,8263983309
155,4.9855,7.6356,7,140847,8010173399
156,0.0768,2.6036,16,650303,5184115254
157,6.114,8.4903,54,416836,1673329155
158,4.4052,2.7474,65,483868,7124468757
159,2.4166,2.7762,66,74327,3432339087
160,5.6436,3.2864,71,214455,2157320007
161,6.6964,8.6501,22,688184,8876901213
162,3.2621,6.517,260,54607,9080372417
163,2.1663,2.3755,84,669737,3869813743
164,3.8356,6.625,44,256223,1542465793
165,4.7235,9.6274,7,29428,4277021071
166,0.5421,2.3511,62,503713,5905863557
167,3.6499,9.0093,76,366719,7610439375
168,7.9796,1.1972,68,710014,9760165581
169,7.348,4.3301,54,76081,4638808598
170,0.3764,6.3198,116,567415,9646456529
171,0.1489,0.2586,59,154764,5938943847
172,0.7061,1.3806,52,71867,2143257457
173,5.2868,2.7932,63,589051,2457180213
174,3.3644,5.5377,27,663443,5215276306
175,8.3711,5.1207,80,227167,3457555475
176,5.1633,0.3339,10,463217,4992367896
177,7.4515,1.596,75,307698,9477796422
178,7.8443,0.6051,145,576987,2451275036
179,5.4335,7.299,19,5646,9746853280
180,2.2003,1.2541,65,610195,2358558474
181,6.6566,2.3126,21,487939,7047393671
182,8.8387,5.6785,42,648892,8152436602
183,3.2729,9.9257,168,287683,9864618995
184,0.7834,8.9051,3,211620,6468916409
185,3.7771,1.0254,10,203316,7437534017
186,3.0339,3.6246,55,356475,6541836374
187,6.0721,7.3973,72,543098,8124352900
188,4.7489,3.6587,18,158376,2331092490
189,5.401,2.9618,68,71871,2956577100
190,0.1084,1.3419,24,638757,7819741846
191,2.7878,2.5728,144,330072,7194654578
192,9.5491,0.8428,449,174651,5885752485
193,9.8862,2.0552,67,171081,6554223950
194,0.4792,6.8623,10,66772,5268909907
195,0.3451,9.3537,49,370553,6619067741
196,0.3742,2.7187,62,570396,8173127695
197,4.3027,5.9995,69,684377,3444772017
198,0.7933,3.917,67,599361,6420974611
199,3.2288,3.0644,114,782799,8358913171
200,7.6501,4.3549,32,486434,2727722673
201,5.4298,2.9131,67,73465,4108047704
202,5.7595,1.8637,91,740441,6096677070
203,8.1482,7.7254,66,17761,6315820229
204,0.2384,2.6491,95,134031,3523980350
205,8.6292,4.5922,76,290812,4895747471
206,8.321,8.1322,55,42611,5484516781
207,5.0627,0.388,51,487406,4287248540
208,7.8066,4.0105,83,741229,2484513337
209,1.7102,8.2972,67,625615,9691566684
210,8.3246,3.077,72,596331,3817109909
211,0.4564,7.631,161,611903,3227854311
212,2.317,5.8899,28,387664,4176896404
213,9.3115,5.7999,186,635334,6845442335
214,2.1611,6.3183,49,121644,6636463138
215,1.6094,5.9324,90,737751,3133234233
216,6.8481,7.3961,155,583890,2937022755
217,3.9389,5.1907,10,503609,4885023241
218,8.5792,4.2878,50,689150,2683012517
219,0.4978,7.0512,8,61437,7043334259
220,3.3828,7.8042,98,343771,4731920100
221,0.7609,5.2923,60,752730,4064239714
222,4.116,8.8613,146,645096,8481413031
223,9.0783,7.4734,61,515643,2975706055
224,9.8991,3.6138,167,18279,6716619924
225,9.0428,8.2622,73,357235,4046852695
226,5.773,5.7036,72,511865,7161674679
227,7.6052,1.0646,66,40963,9057484350
228,9.2736,1.4804,64,1005,4116880785
229,4.6574,4.8631,31,697758,7013809155
230,2.6284,5.3755,31,690894,9337698663
231,3.7208,8.8431,38,668201,8907221664
232,6.9573,9.3442,60,149207,3031203591
233,8.9366,1.6878,17,94323,1624491360
234,9.5171,1.2788,32,565769,5343319802
235,5.8189,6.4788,160,528422,7305045784
236,9.619,3.4429,103,629309,6384989877
237,3.7112,0.9003,4,268272,9758767860
238,6.3065,4.5569,58,667446,1314358546
239,5.8836,1.0886,108,698614,2024949046
240,2.9661,6.5355,69,146690,2501002777
241,0.5979,9.1823,583,665932,3114038195
242,1.8489,3.6059,844,776727,5692628716
243,0.4381,4.7463,919,423126,5944080608
244,6.2417,3.2448,63,721207,4686859549
245,9.7189,3.3686,4,133889,8369424572
246,6.9321,4.5767,70,30464,4042789583
247,1.717,8.0489,4,59352,2209673630
248,4.7743,9.5231,61,649106,6791831386
249,8.5799,7.0203,160,526217,4767869148
250,2.5257,3.8428,25,773324,1617839380
251,2.8055,0.9055,166,235793,2819298597
252,4.4005,0.7281,66,266292,4378866789
253,0.5305,1.8821,59,342102,5168988632
254,9.8834,5.5934,72,709425,3544702430
255,0.3659,0.1537,176,273956,1412889338
256,4.1469,3.2639,98,646413,9003285471
257,4.8097,7.2837,45,565213,4654445650
258,3.2447,8.467,66,487883,8994011016
259,6.832,0.1352,65,608836,5678467009
260,8.791,8.6943,68,751813,2065959426
261,3.6777,4.3526,6,460180,4807533735
262,2.7004,1.7452,68,656809,2328726743
263,9.8181,0.4694,54,211616,1304638580
264,6.3552,8.3397,144,637334,8300783327
265,1.7205,5.6636,26,276627,3045022715
266,0.2555,6.0699,65,111956,3057071320
267,7.1595,0.2719,170,395280,4736875108
268,8.6562,7.2322,65,476607,1012925232
269,6.9153,9.5241,62,68818,1581047939
270,1.6137,8.2741,36,305929,7676102493
271,3.9691,3.4778,10,561398,4658972803
272,7.2488,2.9944,12,176907,2118696302
273,6.7731,7.199,62,763263,2936911848
274,2.8603,3.1496,62,409573,1099456046
275,5.2274,7.8088,167,386038,5135615999
276,6.1193,4.5049,38,482735,3036769406
277,2.7227,8.0698,184,206800,1479885818
278,9.3314,3.0396,69,53157,6700947282
279,4.5853,8.6403,58,631139,4768858248
280,4.5868,8.9804,53,256576,7437146715
281,0.3075,2.5147,67,301255,8920832080
282,9.925,4.2,28,498834,9153343927
283,2.4815,9.0111,64,190053,5911496193
284,0.6843,7.4833,19,178007,3813277154
285,0.7599,8.0184,55,773910,6285979907
286,6.5611,8.2226,58,233659,7251967547
287,7.5797,3.487,56,737945,4623222280
288,1.87,1.0625,60,685572,3170537739
289,0.0091,3.6244,66,400786,8417337534
290,3.3771,4.0756,64,398427,3463664755
291,3.627,7.9511,51,406335,9252963695
292,8.9002,6.9567,130,644314,7698507904
293,0.5608,8.384,72,717155,8240856074
